Code,Name,UnitName,WhenSold,HasDefaultLineDescription,DefaultLineDescription,HasDefaultSalesUnitPrice,DefaultSalesUnitPrice,HasDefaultPurchaseUnitPrice,DefaultPurchaseUnitPrice,HasDefaultTaxCode,HasDefaultDivision,HideItemNameOnPrintedDocuments,Inactive,Key
,OO-DEADHD2 (R2-DEADHEAD DISPATCH TO PICKUP),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,309f50e7-36e0-4fd7-aca7-c7fecd9c6b32
,OO-DETENT6 (R5-PICKUP DETENTION),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,17aba992-24e8-475e-9e6d-0837af60e687
,OO-DETENT7 (R5-RE-DELIVERY DETENTION),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,a1164ad2-6404-42f4-ab8d-ef1481d5ae3d
,OO-DFUL (R3-DEADHEAD FUEL),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,dee662c3-b1c2-4329-980f-746fe56eb899
,OO-FUEL11 (R3-REEFER FUEL SURCHARGE),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,250c95af-2c7e-4de1-bdc3-8e2ad5696481
,OO-OTHER2 (R5-TENDER ADJUSTMENT),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,d0ca2247-909a-461f-ab86-3c0e3381cc05
,OO-RELOCA2 (R5-EQPT RELOCATION CHARGE(2)),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,bdbc4459-4966-43cb-9fee-61db69b6ef35
,OO-SECURE (R5-CONTRACTOR SECURE PROGRAM),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,a12fbb9c-beda-4d38-a27f-a7c5009834d0
,OO-TEMPASS (R5-TEMPASSURE CHARGE),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,e65de43d-3b5d-4647-8dbd-e711f5db0d80
,OO-TOLLS (R4-TOLLS),,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,6cfaa0b9-2f13-42cf-afb5-ef5f7cc2aed5
,R1-Paid by Percentage of Gross,,db39022d-0fdc-4f5b-b891-6d360a88122f,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,485afb9d-dd31-40d2-aea9-3d40804f08d8
